;;
;;
;;
;;
[M001-00214] TARTRATO DE BRIMONIDINA 0.2% (CITOL BRIM);TARTRATO DE BRIMONIDINA 0.2% (CITOL BRIM);
[M001-00223] IVERMECTINA 0.1 % \ METRONIDATOL 1 % (PRERADO MAGISTRAL);IVERMECTINA 0.1 % \ METRONIDATOL 1 % (PRERADO MAGISTRAL);
[M001-00236] TIMOLOL 0,5% (TIOF);TIMOLOL 0,5% (TIOF);
[M001-00239] LATANOPROST 0.005% (GAAP);LATANOPROST 0.005% (GAAP);
[M001-00241] NUMAQULA VITAMIN (SUPLEMENTO AREDS2 - FORMULA +);NUMAQULA VITAMIN (SUPLEMENTO AREDS2 - FORMULA +);
[M001-00242] INSULINA 0.5% GOTAS;INSULINA 0.5% GOTAS;
[M001-00243] CARBOXIMETILCELULOSA SODICA 0.5% GLICEROL 0.9% (CRISTAL TEARS PLUS);CARBOXIMETILCELULOSA SODICA 0.5% GLICEROL 0.9% (CRISTAL TEARS PLUS);
[M001-00244] LOTEPREDNOL ETABONATO 0,5% (LOTESOFT);LOTEPREDNOL ETABONATO 0,5% (LOTESOFT);
[M001-00246] PILOCARPINA 1% (PREPARADO) 5 ml;PILOCARPINA 1% (PREPARADO) 5 ml;
[M001-00247] SULFATO DE ATROPINA 0.01% (ALLEANCE PF);SULFATO DE ATROPINA 0.01% (ALLEANCE PF);
[M001-00248] VANCOMICINA;VANCOMICINA;
[M001-00249] CEFTAZIDIMA;CEFTAZIDIMA;
[M001-00250] HIALURONATO DE SODIO 0.4% (LAGRICEL PF);HIALURONATO DE SODIO 0.4% (LAGRICEL PF);
[M001-00251] LOTEPREDNOL ETABONATO 0,5% TOBRAMICINA 0,3% (LOTEMICIN);LOTEPREDNOL ETABONATO 0,5% TOBRAMICINA 0,3% (LOTEMICIN);
[M001-00252] OLOPATADINA 0,2% (PATANOL S);OLOPATADINA 0,2% (PATANOL S);
[M001-00253] NEPAFENACO 0.1% (NEVANAC);NEPAFENACO 0.1% (NEVANAC);
MEDICINA INTERNA;;
[IMG-00044] ELECTROCARDIOGRAMA (EKG) - SIN INTERPRETACIÓN;ELECTROCARDIOGRAMA (EKG) - SIN INTERPRETACIÓN;
[MEDINT-00001] CONSULTA MEDICINA INTERNA;CONSULTA MEDICINA INTERNA;
[MEDINT-00002] CONSULTA MEDICA PARA ELABORACIÓN DE RIESGO QUIRURGICO;CONSULTA MEDICINA INTERNA;
ÓPTICA;;
[CAD-00211] LIQUIDOS DE LIMPIEZA DE LUNAS;LIQUIDOS DE LIMPIEZA DE LUNAS;
[IOX-000433] COMPRA DE LUNAS;COMPRA DE LUNAS;
[IOX-000434] COMPRA DE LUNAS OFTÁLMICAS - A CUENTA;COMPRA DE LUNAS;
[IOX-000435] COMPRA DE LUNAS OFTÁLMICAS - SALDO;COMPRA DE LUNAS;
[IOX-000438] LENTE DE CONTACTO PUPILENS;LENTE DE CONTACTO;
[MNT-001206] COMPRA DE MONTURA;COMPRA DE MONTURA;
[MNT-001207] COMPRA DE MONTURAS OFTÁLMICAS - A CUENTA;COMPRA DE MONTURA;
[MNT-001208] COMPRA DE MONTURAS OFTÁLMICAS - SALDO;COMPRA DE MONTURA;
PROCEDIMIENTO LASER;;
[CX-00062] IRIDOTOMIA YAG LASER OD;IRIDOTOMIA YAG LASER;
[CX-00063] IRIDOTOMIA YAG LASER OI;IRIDOTOMIA YAG LASER;
[CX-00064] CAPSULOTOMIA YAG LASER OD;CAPSULOTOMIA YAG LASER;
[CX-00065] CAPSULOTOMIA YAG LASER OI;CAPSULOTOMIA YAG LASER;
[CX-00066] TRABECULOPLASTIA SELECTIVA LASER – SLT OD;TRABECULOPLASTIA SELECTIVA LASER – SLT;
[CX-00067] TRABECULOPLASTIA SELECTIVA LASER – SLT OI;TRABECULOPLASTIA SELECTIVA LASER – SLT;
[CX-00139] TRABECULOPLASTIA SELECTIVA LASER – SLT OD;TRABECULOPLASTIA SELECTIVA LASER – SLT;
[CX-00139] TRABECULOPLASTIA SELECTIVA LASER – SLT OI;TRABECULOPLASTIA SELECTIVA LASER – SLT;
[OFT-00104] FOTOCOAGULACION LASER CON ARGON OI;FOTOCOAGULACION LASER CON ARGON;
REXON EYE;;
[OFT-00045] REXON EYE x SESIÓN;REXON EYE POR SESION;
[OFT-00046] REXON EYE - 4 SESIONES;REXON EYE 4 SESIONES;
TR CORNEA;;
[IMG-00082] TEST DE SIRIUS (MEIBOGRAFÍA + PELÍCULA LAGRIMAL + OSDI+ TBUT);TEST DE SIRIUS (MEIBOGRAFÍA + PELÍCULA LAGRIMAL + OSDI+ TBUT);
[SER-00006] TOPOGRAFÍA CORNEAL - SIN INFORME;TOPOGRAFÍA CORNEAL - SIN INFORME;
