,,,,
,,,,
,NOMBRE DE TRYTON,NOMBRE SIMPLIFICADO PARA FACTURADOR,D,GLOSA - PARA CONTABILIDAD
,[M001-00138] DORZOLAMIDA 2% (GLAUCOTENSIL D),DORZOLAMIDA 2% (GLAUCOTENSIL D),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00139] ACETATO DE FLUOROMETOLONA 0.1% (FLUMETOL NF),ACETATO DE FLUOROMETOLONA 0.1% (FLUMETOL NF),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00142] GOTAS OCULARES BASADAS EN CARMELOSA 1% (OCUTEARS FREE),GOTAS OCULARES BASADAS EN CARMELOSA 1% (OCUTEARS FREE),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,"[M001-00143] ACIDO POLIACRILICO 0,2% (ACRYLARM)","ACIDO POLIACRILICO 0,2% (ACRYLARM)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00144] LATANOPROST 0.005% (GAAP PF),LATANOPROST 0.005% (GAAP PF),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00145] DEXPANTENOL 5% (AQUADRAN GEL),DEXPANTENOL 5% (AQUADRAN GEL),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00146] DEXPANTHENOL 5% (EYEGEL PLUS),DEXPANTHENOL 5% (EYEGEL PLUS),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,"[M001-00147] CICLOSPORINA 0,05% (CLACIER)","CICLOSPORINA 0,05% (CLACIER)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
,"[M001-00148] LATANOPROST 0,0005% (LOUTEN)","LATANOPROST 0,0005% (LOUTEN)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
,"[M001-00149] HIALURONATO DE SODIO 0.1% + RIBOFLAVINA + FOSTATO DE SODIO 0.05% + VITAMINA E TPGS, MSM Y AMINOACIDOS (MIRA UV)","HIALURONATO DE SODIO 0.1% + RIBOFLAVINA + FOSTATO DE SODIO 0.05% + VITAMINA E TPGS, MSM Y AMINOACIDOS (MIRA UV)",VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00151] BROMFENACO 0.09% (ALGILEM) 5ML,BROMFENACO 0.09% (ALGILEM) 5ML,VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00152] MOXIFLOXACINO 5 MG/ML (CITOL MOX),MOXIFLOXACINO 5 MG/ML (CITOL MOX),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00153] FENILEFRINA 10%,FENILEFRINA 10%,VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00160] BALANZA GRAMERA,BALANZA GRAMERA,VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00161] TROPICAMIDA 1% (TROPICAMIDA),TROPICAMIDA 1% (TROPICAMIDA),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00196] PILOCARPINA CLORHIDRATO 2% (ISOPTO CARPINA 2%),PILOCARPINA CLORHIDRATO 2% (ISOPTO CARPINA 2%),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00196] PILOCARPINA CLORHIDRATO 2% (ISOPTO CARPINA 2%),PILOCARPINA CLORHIDRATO 2% (ISOPTO CARPINA 2%),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00198] DORZOLAMIDA 2% + TIMOLOL 0.5% (DORZATIM),DORZOLAMIDA 2% + TIMOLOL 0.5% (DORZATIM),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00201] DORZOLAMIDA 2 % +TIMOLOL 0.5% (ELIPTIC PF ),DORZOLAMIDA 2 % +TIMOLOL 0.5% (ELIPTIC PF ),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00204] HIALURONATO DE SODIO 0.4% (LAGRICEL OCUVIAL),HIALURONATO DE SODIO 0.4% (LAGRICEL OCUVIAL),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00208] BRIMATOPROST 0.03% + TIMOLOL 5 MG (GANFORT),BRIMATOPROST 0.03% + TIMOLOL 5 MG (GANFORT),VENTA DE MEDICAMENTOS,MEDICAMENTOS
,[M001-00209] BRIMATOPROST 0.001% (LUMIGAN),BRIMATOPROST 0.001% (LUMIGAN),VENTA DE MEDICAMENTOS,MEDICAMENTOS
